Opening,NumGames,WhiteWin%,BlackWin%,Tie%,AvgMoves,EffectivenessWhite,EffectivenessBlack,Aggressivity,Volatility,Popularity
Nimzo-Indian Defense: Classical Variation,10314,45.0261780104712,38.60771766530929,16.366104324219506,88.4591816947838,0.32477535301668814,-0.32477535301668803,-0.8767650834403081,-0.7509627727856226,0.7946084724005136
Catalan Opening: Closed,25996,49.57301123249731,38.48284351438683,11.944145253115863,86.81097091860286,0.7560975609756098,-0.7560975609756098,-0.6431322207958922,-0.62002567394095,0.9743260590500642
Modern Defense,54497,46.56036112079564,44.67034882654091,8.769290052663449,82.40451767987228,-0.43003851091142486,0.43003851091142486,0.32734274711168165,0.23491655969191272,0.9974326059050065
Queen's Gambit Declined: Three Knights Variation,10845,46.011987090825265,42.858460119870905,11.129552789303826,84.58579990779161,-0.2554557124518614,0.25545571245186127,-0.49165596919127086,-0.2682926829268293,0.7997432605905006
"Trompowsky Attack: Classical Defense, Big Center Variation",5683,48.108393454161536,43.35738166461376,8.534224881224706,81.14816118247404,-0.029525032092426184,0.029525032092426295,0.4480102695763799,0.4711168164313222,0.5430038510911426
"French Defense: Advance Variation, Paulsen Attack",5600,48.92857142857142,44.107142857142854,6.964285714285714,80.02357142857143,-0.03209242618741981,0.03209242618741981,0.8793324775353017,0.6534017971758665,0.5378690629011553
King's Indian Attack: Wahls Defense,4166,47.45559289486318,43.11089774363898,9.43350936149784,86.677148343735,-0.08344030808729141,0.08344030808729141,0.029525032092426295,-0.6097560975609756,0.36328626444159173
"King's Indian Defense: Normal Variation, King's Knight Variation",9954,47.10669077757685,43.46996182439221,9.423347398030943,84.91008639742817,-0.19897304236200253,0.19897304236200264,0.03465982028241332,-0.3119383825417201,0.7689345314505778
"Queen's Gambit Accepted: Normal Variation, Traditional System",1384,46.02601156069364,42.55780346820809,11.416184971098266,83.2492774566474,-0.21181001283697043,0.21181001283697043,-0.5609756097560976,0.03209242618741981,-0.6611039794608473
Trompowsky Attack,32938,48.91310947841399,41.763312890885906,9.323577630700102,82.62411196793977,0.35044929396662394,-0.35044929396662383,0.10397946084723997,0.18613607188703463,0.987163029525032
Queen's Indian Defense,4433,45.093616061358,44.43943153620573,10.466952402436274,86.59936837356192,-0.5969191270860077,0.5969191270860077,-0.35044929396662383,-0.5994865211810012,0.3966623876765083
King's Gambit Accepted: Abbazia Defense,1871,46.231961517904864,45.59059326563335,8.177445216461784,74.7049706039551,-0.6020539152759949,0.6020539152759949,0.5532734274711169,0.9794608472400514,-0.3350449293966624
Queen's Gambit Declined: Queen's Knight Variation,3782,47.75251189846642,41.35378106821788,10.893707033315705,84.23135906927551,0.2477535301668805,-0.24775353016688062,-0.46341463414634143,-0.21181001283697043,0.3068035943517331
Catalan Opening: Open Defense,11791,44.94953778305487,43.17699940632686,11.873462810618268,84.51479942328895,-0.44287548138639277,0.4428754813863929,-0.6328626444159178,-0.26315789473684215,0.8254172015404364
"French Defense: Steinitz Variation, Boleslavsky Variation",11686,43.04295738490501,38.43060071880883,18.526441896286155,92.43684750984083,0.03979460847240057,-0.03979460847240046,-0.9050064184852374,-0.8818998716302953,0.8202824133504494
King's Indian Attack: Keres Variation,3351,45.98627275440167,42.04715010444644,11.966577141151895,88.42106833780961,-0.13478818998716302,0.13478818998716302,-0.6456996148908858,-0.7458279845956355,0.2195121951219512
English Opening: King's English Variation,18029,47.124077874535466,41.666204448388704,11.209717677075822,85.32336790726052,0.13735558408215653,-0.13735558408215665,-0.5121951219512195,-0.3812580231065469,0.9127086007702183
Indian Defense: Pseudo-Benko,2035,49.04176904176904,43.58722358722359,7.371007371007371,77.70712530712531,0.08600770218228493,-0.08600770218228493,0.8048780487804879,0.8690629011553272,-0.24775353016688062
"Queen's Gambit Declined: Ragozin Defense, Alekhine Variation",3801,45.09339647461195,39.436990265719544,15.469613259668508,91.72717705866877,0.20154043645699615,-0.20154043645699615,-0.8459563543003851,-0.8741976893453145,0.3170731707317074
Zukertort Opening,24500,49.06938775510204,40.78367346938776,10.146938775510204,85.53371428571428,0.47625160462130944,-0.47625160462130933,-0.24775353016688062,-0.4326059050064185,0.9640564826700899
"Italian Game: Classical Variation, Giuoco Pianissimo",18400,36.76086956521739,34.701086956521735,28.53804347826087,102.53184782608696,-0.3350449293966624,0.3350449293966624,-0.9460847240051348,-0.938382541720154,0.9204107830551991
English Opening: Caro-Kann Defensive System,11006,48.455387970198075,41.49554788297292,10.049064146829002,85.02834817372343,0.3324775353016689,-0.3324775353016688,-0.20154043645699615,-0.34017971758664955,0.8023106546854941
Nimzo-Indian Defense: Three Knights Variation,3947,46.13630605523183,41.01849505953889,12.845198885229289,88.70407904737776,0.07830551989730417,-0.07830551989730428,-0.7355584082156611,-0.766367137355584,0.32734274711168165
"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",21584,51.848591549295776,38.31541882876204,9.83598962194218,84.19046515937731,0.871630295250321,-0.871630295250321,-0.12451861360718874,-0.19897304236200253,0.9460847240051349
